Threshold,FPR,TPR,Precision,Recall,F1,MCC
5e-05,1,1,0.0845458381558642,1,0.155910124185482,0
0.00015,0.1374089859759,0.999189056223325,0.401758293777992,0.999189056223325,0.573087190449445,0.58834723901133
0.00025,0.108285320057847,0.99852579011689,0.459932086268998,0.99852579011689,0.629780341657737,0.639776721487079
0.00035,0.0921798944126299,0.998027770132776,0.499978154163709,0.998027770132776,0.666208423106807,0.672846518705798
0.00045,0.0815707224268001,0.997620900753932,0.530406557617675,0.997620900753932,0.692585286838023,0.696893050601392
0.00055,0.0739889555616166,0.99725196326026,0.554522633609894,0.99725196326026,0.712730813038292,0.715344158354493
0.00065,0.0682781188237861,0.996925863128639,0.574188411457807,0.996925863128639,0.728684459113213,0.730024579897045
0.00075,0.0637911178546223,0.996641744752637,0.590649486762644,0.996641744752637,0.74172391724537,0.742077361617602
0.00085,0.06016415600233,0.996378902456589,0.604661014514336,0.996378902456589,0.752600196427235,0.752169889459456
0.00095,0.0571607304116359,0.996140188261935,0.616777935345276,0.996140188261935,0.761845601011143,0.760780478092745
0.00105,0.0546352939751036,0.995921894540803,0.627349380750501,0.995921894540803,0.769792447296176,0.76820616421099
0.00115,0.0524713731849907,0.995704912749534,0.636697016547438,0.995704912749534,0.776723349723416,0.774699474275752
0.00125,0.0505847025401734,0.995504187480482,0.645078110986316,0.995504187480482,0.782865890164757,0.780470253741215
0.00135,0.0489204536250667,0.995315212539768,0.652656659458103,0.995315212539768,0.788361880153348,0.785646555415497
0.00145,0.0474465659345544,0.995135535188954,0.659518302332398,0.995135535188954,0.793289912217053,0.790298343897932
0.00155,0.0461364523228392,0.99496800744948,0.665740157788048,0.99496800744948,0.797720119812546,0.794489283363134
0.00165,0.0449511197141948,0.99480909281476,0.67147166712072,0.99480909281476,0.801768988852807,0.798327101280396
0.00175,0.0438744114262039,0.994657593435787,0.676764203837388,0.994657593435787,0.80548028679605,0.801851383101688
0.00185,0.042892915357975,0.994512767786988,0.681661913600951,0.994512767786988,0.808891201994426,0.805095903536938
0.00195,0.0419960166692501,0.994379920628243,0.686201042545228,0.994379920628243,0.812034115788933,0.808091031625645
0.00205,0.0411660099118376,0.994253861280529,0.690456258329315,0.994253861280529,0.814963705504671,0.810887331865266
0.00215,0.0403943926777093,0.994131851803262,0.694459694432998,0.994131851803262,0.817704558059902,0.813507157741322
