Epoch,LR,TrainLoss,Forged_P,Forged_R,Forged_F1,Forged_IoU,Bg_P,Bg_R,Bg_F1,Bg_IoU,GlobalAcc,MeanIoU,TrainMin,EvalMin
1,0.0001,0.138348951935768,0.832949207867265,0.83153951847435,0.832243766223483,0.712686211515233,0.984566842434336,0.984719519643126,0.984643175120259,0.969750880668854,0.971862158564815,0.841218546092043,53.3661492133333,1.93145068833333
2,0.0001,0.237992495298386,0.854993524041796,0.851183771642279,0.853084394411464,0.743807469577247,0.986369960658987,0.986772675706152,0.986571277085842,0.973498436327041,0.975391846064815,0.858652952952144,49.058922135,1.90769699
3,0.0001,0.100790701806545,0.883792758727066,0.870278597406777,0.876983618452713,0.780917921468259,0.98813062984037,0.989515079328474,0.988822369992976,0.977891856632656,0.979506811342593,0.879404889050457,51.509214935,1.91181455
4,0.0001,0.258150368928909,0.860425098571861,0.901992741270437,0.880718721490205,0.786860942285026,0.990979948152323,0.986593315303755,0.988781766535911,0.977812438318761,0.979492256944444,0.882336690301893,50.0103603166667,1.908757035
5,0.0001,0.0774277523159981,0.896734742997085,0.898031541366216,0.897382673684436,0.813865928157571,0.99065568440274,0.990524417484736,0.990590046595066,0.981355536720849,0.982760908564815,0.89761073243921,49.7855672183333,2.495181585
6,3e-05,0.13239686191082,0.924495105444082,0.930152464208448,0.927315156311416,0.864480524515203,0.993596480136676,0.99303936720144,0.993317845553377,0.986724400711571,0.987760873842593,0.925602462613387,49.7159560916667,2.17821312166667
7,3e-05,0.0525574907660484,0.931850508023373,0.93726723538045,0.934551022828997,0.87714291613516,0.994248913565056,0.993719359935802,0.993984066219362,0.988040082510364,0.988980978009259,0.932591499322762,49.785864945,1.91695561166667
8,3e-05,0.0519415438175201,0.93166915710125,0.942070260933547,0.936840840819428,0.881185881464348,0.99468662899163,0.993669143824269,0.994177626073234,0.988422659750479,0.989338125,0.934804270607414,50.6750472883333,1.89563332666667
9,3e-05,0.0784425064921379,0.936002684679688,0.939966317321662,0.937980313729003,0.883204262458142,0.994497150679427,0.994111278081911,0.994304176943016,0.988672871207379,0.989566550925926,0.93593856683276,49.6300935483333,1.920729025
10,3e-05,0.0556307286024094,0.941425651499687,0.944860213161837,0.943139805494572,0.892397888006301,0.994946010024311,0.994613420245384,0.994779687335738,0.989613594953277,0.990437320601852,0.941005741479789,49.3015634033333,1.91194366666667
